UniqueCount	AmbigCount
0	14
0	0
0	391
0	0
0	2
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	47
0	1
0	4
0	10
0	0
0	37
5	4
0	55
0	3
0	21
121	18
0	15
0	49
1	13
0	0
0	28
0	0
0	0
0	0
1	398
0	91
0	79
0	81
0	80
0	76
13	24
0	0
0	30
0	0
0	0
0	0
0	0
0	12
0	0
0	7
0	8
2	23
0	7
0	2
2	13
0	258
0	166
0	162
0	150
0	83
0	85
3	27
0	106
0	87
0	34
0	37
0	8
0	6
0	11
0	32
7	11
0	0
0	0
0	3
0	88
0	0
0	0
0	7
13	0
0	0
0	25
0	1
0	1
0	21
0	7
0	0
0	7
0	12
0	8
0	4
0	0
0	0
3	16053
107	141139
1	216975
43	0
0	75531
0	292
315	153529
1	35419
0	0
0	0
0	2
5	769
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	9
6	0
0	6
3	6
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	60
0	2
1	2
0	0
9	5
0	5
0	1
0	2
0	2
20	98
10	20
0	119
2	0
1	97
0	11
0	97
0	12
0	38
0	0
0	1
0	6
0	4
0	49
0	72
0	0
0	4
0	51
1	6
0	46
0	6
0	2
0	13
0	6
0	2
13	9
0	1
0	1
0	4
0	2
0	2
0	0
0	0
0	0
9	0
0	0
0	2
0	2
0	0
0	7
0	7
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
80	1624
2	1107
85	1632
0	0
6	298
20	10
28	45
0	72
12	38
1	12
3	2
89	129
10	96
1	117
0	7
0	30
0	5
0	5
0	5
6	0
5	28
2	22
17	21
0	5
0	40
0	29
11	40
0	0
0	0
0	3399
0	3219
0	2974
0	3154
0	4
47	192
4	143
2	14
29	29
412	1222
0	64
0	7
2	7
0	7
1	0
0	6
0	2
0	0
25	0
0	65
0	54
0	64
0	63
12	51
0	62
1	66
0	9
5	44
0	23
0	19
0	19
0	2
0	1
0	2
0	2
0	1
0	1
0	0
1	1
0	0
0	0
0	0
0	0
27	0
2	1
0	0
0	0
1	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	1351
0	1537
0	1303
0	1351
23	586
2	346
0	689
0	499
167	0
0	0
0	0
2	0
0	2
0	2
3	0
0	230
0	259
0	230
0	187
0	198
0	207
0	181
2	60
0	175
1	146
0	67
0	61
0	62
0	45
1	34
0	2
0	6
0	33
1	20
5	5
1	0
2	0
0	6
0	7
4	7
0	7
0	1
0	5
0	0
0	2
10	267
0	275
6	164
0	145
4	7
0	21
3	27
3	10
16	65
0	38
14	31
0	16
0	0
0	0
2	70
1	10
0	2
0	41
4	38
0	120
0	397
0	397
0	159
0	315
0	34
0	201
0	422
0	159
31	149
5	92
0	135
0	397
0	167
0	136
0	387
0	390
0	65
0	25
3	28
0	359
0	33
0	51
0	64
1	43
0	47
0	298
0	1
0	26
0	293
0	113
0	72
0	264
0	244
0	245
0	0
0	1
0	182
0	289
0	226
5	102
0	122
0	213
0	94
0	83
0	158
0	200
0	18
0	29
0	1
0	0
3	0
0	12
83	34
0	22
1	0
0	627
0	630
0	479
0	172
0	182
3	82
1	33
10	31
0	0
0	18
0	18
0	18
0	14
0	18
0	5
0	5
0	2
0	0
0	0
0	382
4	380
0	379
0	379
3	12
2	2
0	0
0	796
4	938
1	747
0	532
0	1443
1	1124
0	655
0	1321
0	1277
0	516
1	677
0	194
0	186
2	191
0	399
0	243
6	26
0	131
1	21
0	91
0	135
0	128
0	135
0	136
0	13
0	4
0	122
0	139
0	65
32	486
2	238
27	461
11	15
11	253
1	213
0	5
11	59
0	252
0	268
0	278
0	146
14	45
1	0
4	0
0	0
0	0
0	0
1	0
0	20
0	234
16	254
0	7
7	30
1	0
2	0
3	311
0	190
5	295
1	48
23	180
18	112
0	1
0	0
0	298
9	214
0	279
0	290
0	296
0	51
0	40
0	78
0	0
